Acav,S,mu
(-0.0026843923683381654+0.002283046756265148j),-63.244660406583186,57.0
(-0.0028226001437509185+0.0018267284407462937j),-61.14462828310339,58.0
(-0.0020527312029268623-0.00013408711985426667j),-49.215458733216906,59.0
(-0.001024293010480385-0.0015624751698350857j),-45.26491280698323,60.0
(-0.0009814602913114608-0.001197029353879738j),-44.79878344062084,61.0
(-0.0023233999322742004+0.0003405491652317833j),-47.324692425959185,62.0
(-0.0038599887840415326+0.0014195041893232565j),-54.223256248580896,63.0
(-0.0038385375467470213+0.0011670467763850486j),-79.40057011901048,64.0
(-0.002043467452784552+0.00017711088910168896j),-58.4085637004206,65.0
(-0.00021417156462365407-0.00042809630985296456j),-50.03891522288892,66.0
(-0.0002507931657772473-0.000245963566354129j),-47.226476010693354,67.0
(-0.002233621059105401+0.0001306624190068265j),-47.56542118259857,68.0
(-0.004196413809059283+0.00010766005063524887j),-51.08035687882116,69.0
(-0.004178660835105619-5.561482753916844e-05j),-60.307076580418645,70.0
(-0.00226334614920711+0.00022613830417449353j),-79.64327885054546,71.0
(-0.00037349137715241086+0.0008906884732455697j),-56.64464562713824,72.0
(-0.00032180744750421973+0.0010859040990286557j),-50.531821617045956,73.0
(-0.001983708663169492+0.00019416953323886775j),-48.70864164870282,74.0
(-0.003577435501000199-0.0010970623886930732j),-49.88045440434374,75.0
(-0.003676606128990027-0.001347902528290572j),-54.614438826414194,76.0
(-0.002472838712903127+1.1365589884903906e-05j),-67.91516153237615,77.0
(-0.0013172577215646933+0.0018181838453321811j),-68.27794644527654,78.0
(-0.0012150578230773704+0.002144462975830411j),-55.08602178917198,79.0
(-0.0018861917677989162+0.00046011254181080893j),-50.57542364579771,80.0
(-0.002439922142097723-0.001626456470039159j),-49.64352545677717,81.0
(-0.002468715715738518-0.0020228251627841423j),-51.707934741224534,82.0
(-0.0023447337251255628-0.0002876754085817118j),-58.0535735573322,83.0
(-0.0025184396550871958+0.001863919685789376j),-81.56253118904394,84.0
(-0.0026793213596960144+0.0023427815196809783j),-62.39831118831554,85.0
(-0.0022092150507792264+0.0007972508257458444j),-53.32705569964979,86.0
(-0.0012905894785075834-0.0012138436308787679j),-50.060115494730596,87.0
(-0.0009604266074382048-0.0017775616531297408j),-50.04342684125662,88.0
(-0.0019352049489877094-0.0005092801156070031j),-52.529354778753174,89.0
(-0.0034884971056402428+0.0011481091158006206j),-61.33261571282468,90.0
(-0.004000892745462418+0.0016444554712632617j),-84.1992530724114,91.0
(-0.0027247995143250335+0.0008154154986920445j),-57.481065690687906,92.0
(-0.0007159229906648886-0.0002714109384091273j),-50.660935997038045,93.0
(2.0124620438840375e-05-0.0006104377422685718j),-48.18680561849433,94.0
(-0.0014017286466776386-0.0002765680867451182j),-48.64424950687992,95.0
(-0.0036672025016881668+7.819312261561323e-05j),-52.50893070638571,96.0
(-0.004566449262947103+0.000202838197113227j),-64.07619818111397,97.0
(-0.0031992067415968946+0.00035823834786171115j),-67.14217413129968,98.0
(-0.0009244606990853104+0.0007502368372564769j),-51.6927632173185,99.0
(3.6025759288384196e-05+0.000969338911270913j),-45.85476407921135,100.0
(-0.001088615507838558+0.0003910565696567833j),-43.63433513000911,101.0
(-0.0030771638498323776-0.0007694599620816523j),-44.04296731605163,102.0
(-0.00406339532458204-0.001348578688634808j),-48.00991626001918,103.0
(-0.003282688902941877-0.00043076139351365086j),-60.54562490224275,104.0
(-0.0017270458570964584+0.0013649641883088388j),-63.36517345431357,105.0
(-0.00090277522105342+0.0022399438717593556j),-38.699097437788026,106.0
(-0.00130134281275397+0.0011467735627667221j),-28.280346246856144,107.0
