Acav,S,mu
(-0.0016699258058109007+0.0020155147372488817j),-10.584697422213251,7.0
(-0.0021432477682213954+0.0029908293744206533j),-12.36851249238536,8.0
(-0.0022192204846863345+0.002446987216916185j),-17.43716532679301,9.0
(-0.0012477949662751493+0.0016726654064873135j),-30.023608501781858,10.0
(0.0002764814998030001+0.001801274745259061j),-35.2767534534195,11.0
(0.0007869431589394162+0.0028369419253704477j),-20.65788402974617,12.0
(-0.0002237958161519595+0.004194764354713861j),-16.039118759353286,13.0
(-0.0011226754711031752+0.005340223927869875j),-14.979573886305722,14.0
(-8.325426669404459e-05+0.0060894217856877495j),-16.552224142678828,15.0
(0.0025227597146359874+0.00684554502742978j),-21.173383455302613,16.0
(0.004719521748116893+0.008377814556945294j),-31.992364772523462,17.0
(0.005472888450462843+0.010696131687459384j),-45.74368338697436,18.0
(0.005599395725101954+0.012868518895012209j),-26.898193245465812,19.0
(0.006453343910946233+0.014540849100160222j),-21.59754198944247,20.0
(0.008730810944268818+0.0167720703735643j),-20.17499793548263,21.0
(0.012138058722398981+0.020511554406753448j),-21.398105076045038,22.0
(0.015416273928092717+0.02490973626175457j),-25.576783934641906,23.0
(0.016905644756128855+0.027947086275193673j),-34.95343026068275,24.0
(0.01583808608503375+0.028392194422553647j),-59.84412676938312,25.0
(0.01324224926853837+0.02619826193652361j),-33.48408728070807,26.0
(0.010930055771279118+0.021956152249721684j),-27.32150564999248,27.0
(0.009565579954675083+0.017147347169661754j),-25.442236114181547,28.0
(0.008504503965697888+0.0137386974745091j),-26.27594858040601,29.0
(0.007124345821122941+0.012369511997071553j),-29.876463257627705,30.0
(0.005462691690882614+0.011573712981538378j),-38.08301076066342,31.0
(0.0039172557992148615+0.009540187979845566j),-71.38785887830387,32.0
(0.002927701747216747+0.006494930736484767j),-40.134226439786076,33.0
(0.0026904874350322755+0.004194195687171279j),-32.90995693050955,34.0
(0.0026897476787363065+0.0034720203360415576j),-30.515251922673574,35.0
(0.0018342490989856973+0.0035697148367230644j),-30.922469679684724,36.0
(3.340384566827819e-05+0.0034247003696246713j),-34.00855662318239,37.0
(-0.0012132989482182739+0.0026840338904842347j),-41.183906551178794,38.0
(-0.0007558521711338779+0.0016539367798828184j),-64.42550223259009,39.0
(0.0004776741008584747+0.0008876945752336084j),-46.75433228710102,40.0
(0.0005960342966072534+0.0008462432568188763j),-38.23086395395115,41.0
(-0.0007940952609530981+0.001244402716916218j),-35.26709695704234,42.0
(-0.00227456217564155+0.001129349222553921j),-35.22772305850647,43.0
(-0.0025910990168944003+0.000314307962041262j),-37.805883881188564,44.0
(-0.0018200836661740355-0.00014698468744014982j),-44.06826152988298,45.0
(-0.0008742948882469733+0.000468879869535902j),-61.486704973621165,46.0
(-0.0006965586637565669+0.0012907577736586975j),-53.39896136592774,47.0
(-0.0015608192862230188+0.0009639567665975135j),-43.2405515745313,48.0
(-0.0027169108314758373-0.0002710467002616112j),-39.63642017591923,49.0
(-0.0029626854042212425-0.0009025298294338791j),-39.1267979200654,50.0
(-0.002056857122086361-0.0002500445662287445j),-41.198653701700835,51.0
(-0.0012920769866878407+0.0008816163010518705j),-46.63201550056834,52.0
(-0.001697347997068138+0.0013703625506482657j),-60.456712752617314,53.0
(-0.002544176078294838+0.0007884488658012637j),-60.248869268887375,54.0
(-0.0025918096728546436-0.0003885093846729766j),-47.90110948254381,55.0
(-0.0019373353316960804-0.0011121202345408573j),-43.58482379479344,56.0
(-0.00170684082978208-0.0005215522888180012j),-42.5764878091461,57.0
(-0.002293408286662679+0.000940793767911406j),-44.13842206712436,58.0
(-0.0028461100960665265+0.001624453155630354j),-48.802384188107816,59.0
(-0.0026814737506488185+0.0006764818407946441j),-60.08846137091533,60.0
(-0.002022459381378428-0.0007067910623927673j),-67.53181495188474,61.0
(-0.001474588718205262-0.0008479732857178128j),-52.21204673707469,62.0
(-0.0015831653163378057+0.00018681087775896326j),-47.116936220900286,63.0
(-0.002462647166121613+0.000909829169100689j),-45.56026953959973,64.0
(-0.003400358602520627+0.0006457431790954948j),-46.59955730834078,65.0
(-0.003232547631361388+9.255513523364393e-05j),-50.53444866279329,66.0
(-0.001817215613762377-5.403716735965104e-05j),-59.864535470324576,67.0
(-0.0007461800956903722+0.00015286605818053587j),-75.11522500763701,68.0
(-0.0014151810057821124+0.0003795120364735276j),-56.26957806400874,69.0
(-0.0030183699042069323+0.0003780360774280492j),-50.15417152655125,70.0
(-0.0036414203158569246+6.583584015209215e-05j),-48.02796391914045,71.0
(-0.0027456930271384117-0.0002683792106651047j),-48.53393275096224,72.0
(-0.0015673984502205345+3.397959982021922e-05j),-51.763179215190384,73.0
(-0.0012963902142087524+0.0008956701342047408j),-59.480671228257606,74.0
(-0.0018835137046847724+0.0011477499205459225j),-78.48301176114899,75.0
(-0.002642065614507003+0.00014857689324929512j),-60.06056627163195,76.0
(-0.0029490668137014675-0.000994017705120991j),-52.76856573044043,77.0
(-0.0025456037643943642-0.0007592894612443663j),-49.98727577036543,78.0
(-0.0018679091679201234+0.0006553231066352269j),-49.91720545574059,79.0
(-0.0017398432738136157+0.0015527908190082673j),-52.43103300654864,80.0
(-0.002313946446335173+0.0010041638739954927j),-58.729177253693116,81.0
(-0.0026948657675988415-0.00023542784138185998j),-74.32975821831334,82.0
(-0.0022030727877832917-0.0009352112389748969j),-63.66312393717599,83.0
(-0.0016150829114719237-0.000571811724090979j),-54.919943362103616,84.0
(-0.0020025267441199967+0.0004914185749270745j),-51.36813181413596,85.0
(-0.0029188929392281572+0.001311494548339063j),-50.65635600009075,86.0
(-0.003046496062170099+0.0010230304118091223j),-52.42490549921196,87.0
(-0.0021254497723997763-0.00015854628776617392j),-57.070751537152184,88.0
(-0.0012762589005447793-0.0008511356157113991j),-68.81572959218397,89.0
(-0.001447288533727825-0.0002403340039884162j),-66.82641266586319,90.0
(-0.002382880266673884+0.000748522198679361j),-56.32923579009437,91.0
(-0.0032162091925219054+0.0007967634520176225j),-51.780662420762106,92.0
(-0.0032223496086846797+7.410578317873003e-05j),-50.243812263883456,93.0
(-0.002244534247374322-0.0002111854855573785j),-51.09606440438128,94.0
(-0.0010899273265752314+0.00026292588435947563j),-54.73009114277748,95.0
(-0.0010624968588116889+0.000594185369137261j),-63.18106619804933,96.0
(-0.002400870598122224+0.00028221426320995804j),-68.48141474642178,97.0
(-0.0035957260152940807-0.00020100609447915577j),-56.51763168593365,98.0
(-0.00319073667160855-0.0003073366200776922j),-50.568771105704215,99.0
(-0.001822514428419579+8.624944473810333e-05j),-47.883110470338,100.0
(-0.0012068259974742411+0.0007292790565904262j),-47.519477511273436,101.0
(-0.0018188581809078254+0.0010463507029781305j),-49.5621717485045,102.0
(-0.0026287577675995328+0.00047234830889840293j),-55.20901136203588,103.0
(-0.0027533678177105413-0.0006848252019333137j),-63.36558127656205,104.0
(-0.002405121112739909-0.0010635136222451008j),-52.162247247070795,105.0
